Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 2,4200000,1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-2/3302264-luxury-mini-flat
1 bedroom house for rent,Orchid,1600000,1,1,2,1 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/3302261-room-and-parlour-open-plan-kitchen
4 bedroom semi-detached duplex for rent,Chevron,14000000,4,5,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/3302252-furnished-duplex
1 bedroom flat / apartment for rent,Ikota,4200000,1,1,2,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/3302250-spacious-miniflat
2 bedroom flat / apartment for rent,Lekki Phase 1,20000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302245-fully-furnished-2-bedroom-apartments
4 bedroom detached duplex for rent,Lekki Phase 2,10000000,4,4,4,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-2/3302217-exquisite-4-bedroom-detached-duplex
2 bedroom flat / apartment for rent,Lekki Phase 1,12000000,2,2,2,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302208-luxurious-2-bedroom-apartment
3 bedroom flat / apartment for rent,Lekki Phase 1,15000000,3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302192-exquisite-3-bedroom-apartment
2 bedroom flat / apartment for rent,Lekki Phase 1,20000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302191-fully-furnished-serviced-2-bedroom-apartment-swimming-pool
1 bedroom mini flat (room and parlour) for rent,Chevron,4500000,1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/3302184-very-spacious-and-newly-out-room-and-parlour
4 bedroom semi-detached duplex for rent,Lekki Phase 2,8000000,4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-2/3302183-spacious-4-bedroom-semi-detached-with-bq
2 bedroom flat / apartment for rent,Lekki,13000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3302181-furnished-2-bedroom-apartment
3 bedroom flat / apartment for rent,Lekki,13000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3302177-3-bedroom-apartment-bq
1 bedroom mini flat (room and parlour) for rent,Ikota,4200000,1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikota/3302154-spacious-miniflat-with-a-furnished-kitchen
4 bedroom terraced duplex for rent,Lekki Phase 1,30000000,4,5,6,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3302139-luxury-5-bedroom-duplex
2 bedroom flat / apartment for rent,Lekki Phase 1,25000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3302138-luxury-fully-furnished-2-bedroom-apartment
3 bedroom flat / apartment for rent,Lekki,13000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3302124-modern-and-luxury-3bedroom-apartment-with-1room-bq
4 bedroom semi-detached duplex for rent,Lekki,8000000,4,4,4,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/3302119-well-maintained-4-bedroom-semi-detached-duplex
2 bedroom flat / apartment for rent,Elegushi,15000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate-elegushi/3302114-brand-new-serviced-2-bedroom-terraces
4 bedroom house for rent,Lekki Phase 1,30000000,4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3302110-spacious-4-bedroom-terrace-with-a-bq
4 bedroom semi-detached duplex for rent,Lekki Phase 2,10000000,4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-2/3302103-exquisite-4-bedroom-semi-detached-duplex-with-bq-pool
1 bedroom mini flat (room and parlour) for rent,Ikota,4200000,1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikota/3302104-miniflat
4 bedroom semi-detached duplex for rent,Lekki,10000000,4,4,4,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/victoria-garden-city/3302096-4-bedroom-semi-detached-duplex-with-bq
1 bedroom mini flat (room and parlour) for rent,Lekki,4200000,1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/3302091-mini-flat
2 bedroom flat / apartment for rent,Oral Estate,5000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikota/3302084-luxury-2-bedroom-apartment
1 bedroom mini flat (room and parlour) for rent,Ikota,4200000,1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikota/3302053-mini-flat-with-fully-fitted-kitchen
4 bedroom detached duplex for rent,Chevy View Estate,15000000,4,4,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3302047-luxury-4-bedroom-fully-detached-house
4 bedroom semi-detached bungalow for rent,Orchid,5000000,4,4,5,4 bedroom semi-detached bungalow for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-bungalows/lagos/lekki/3302043-luxurious-sweet-4-bedroom-bungalow-with-pool-gym-children-playing-ground
4 bedroom terraced duplex for rent,Lekki,8000000,4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/osapa/3302041-spacious-4-bedrooms-terraced-duplex
1 bedroom flat / apartment for rent,Ikota,1800000,1,1,1,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikota/3302039-single-room-upstairs-in-a-shared-apartment
1 bedroom mini flat (room and parlour) for rent,Ikota,4200000,1,1,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikota/3302022-mini-flat-available-with-fully-fitted-kitchen
1 bedroom mini flat (room and parlour) for rent,Ikota,4200000,1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikota/3302021-spacious-mini-flat-with-personal-fitted-kitchen
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 1,9500000,1,1,1,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/3302003-exquisite-furnished-1-bedroom-apartment
4 bedroom detached duplex for rent,Chevron,15000000,4,5,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/3301982-luxury-4-bedroom-fully-detached-house
2 bedroom house for rent,Lekki Phase 1,18000000,2,2,3,2 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/2813222-3-bedrooms-maisonette
4 bedroom terraced duplex for rent,Lekki Phase 1,25000000,4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3274818-lovely-4-bedroom-terrace-duplex-with-bq
1 bedroom mini flat (room and parlour) for rent,Lekki Phase 1,17000000,1,2,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/lekki-phase-1/3274895-luxurious-fully-furnished-and-serviced-mini-flat
2 bedroom flat / apartment for rent,Lekki Phase 1,4500000,2,1,1,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3275099-a-well-maintained-2-bedrooms-apartment
2 bedroom flat / apartment for rent,Lekki Phase 1,6000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3053079-a-bedrooms-apartment
2 bedroom flat / apartment for rent,Lekki Phase 1,15000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274900-exquisite-2-bedroom-apartment-swimming-pool
3 bedroom flat / apartment for rent,Lekki Phase 1,25000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3245331-luxurious-spacious-well-furnished-3-bedroom-apartment-with-pool
2 bedroom flat / apartment for rent,Lekki Phase 1,27000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274054-luxury-2-bedroom-apartment
2 bedroom flat / apartment for rent,Lekki Phase 1,14000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3215741-2-bedroom-apartment-with-bq
2 bedroom flat / apartment for rent,Lekki Phase 1,15000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274571-2-bedroom-apartment
2 bedroom flat / apartment for rent,Lekki Phase 1,15000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274570-2-bedroom-apartment
3 bedroom flat / apartment for rent,Lekki Phase 1,12000000,3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274430-3-bedroom-apartment
2 bedroom flat / apartment for rent,Lekki Phase 1,7500000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3258793-2-bedrooms-flat
2 bedroom flat / apartment for rent,Lekki Phase 1,15000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3273132-luxury-new-2-bedroom-apartment-with-elevator-and-gym
2 bedroom flat / apartment for rent,Lekki Phase 1,17000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274116-fully-serviced-and-furnished-2-bedroom-apartment
3 bedroom flat / apartment for rent,Lekki Phase 1,25000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274068-luxury-3-bedroom-apartment-with-bq
2 bedroom flat / apartment for rent,Lekki Phase 1,27000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3274034-luxury-2-bedroom-apartment
4 bedroom terraced duplex for rent,Lekki Phase 1,1400000,4,5,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3273704-4-bedroom-house
5 bedroom terraced duplex for rent,Lekki Phase 1,33000000,5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/lekki-phase-1/3264965-waterfront-5-bedroom-terrace-house-with-pool-gym
4 bedroom semi-detached duplex for rent,Lekki Phase 1,35000000,4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/3167494-state-of-the-art-luxurious-4-bedroom-semi-detached-house-with-bq
5 bedroom semi-detached duplex for rent,Lekki Phase 1,35000000,5,6,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/3272363-5-bedroom-with-2-bq
3 bedroom semi-detached duplex for rent,Lekki Phase 1,14000000,3,3,4,3 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/3273262-semi-detached-duplex
5 bedroom detached duplex for rent,Lekki Phase 1,50000000,5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3273131-luxury-furnished-5-bedroom-fully-detached-house-with-bq-and-swimming
2 bedroom house for rent,Lekki Phase 1,27000000,2,2,3,2 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3273441-2-bedroom-apartment
