title,location,price,bedrooms,bathrooms,toilets,property_type,url
Super Improved/fully Furnished 3 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294873-super-improvedfully-furnished-3-bedroom-apartment
"Luxury 3 Bedroom Fully Serviced Apartment With Bq, Elevator, Pool, Gym","Off Adeola Odeku, Victoria Island (VI), Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3183309-luxury-3-bedroom-fully-serviced-apartment-with-bq-elevator-pool-gym
3 Bedroom Fully Furnished Apartment,"Victoria Island (VI), Lagos","₦45,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294930-3-bedroom-fully-furnished-apartment
Super Improved 3-bedroom Maisonette,"1004 Estate, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3295002-super-improved-3-bedroom-maisonette
Detached Commercial Building,"Victoria Island (VI), Lagos","₦70,000,000 per annum",0,0,0,Commercial property for rent,https://nigeriapropertycentre.com/for-rent/commercial/lagos/victoria-island/3295042-detached-commercial-building
Super Improved/fully Furnished 3 Bedroom Apartment,"1004 Estate, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3295079-super-improvedfully-furnished-3-bedroom-apartment
Commercial 8 Rooms With 3 Room Boys Quarter For Office Use.,"Off Eko Hotel By Sanusi Fafunwa, Victoria Island (VI), Lagos","₦100,000,000 per annum",8,2,2,8 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/victoria-island/3295215-commercial-8-rooms-with-3-room-boys-quarter-for-office-use
Open Plan Ground Floor -- 390sqm - First Floor - 360sqm - 2nd Floor,"Victoria Island (VI), Lagos","₦100,000 per square meter / per annum",0,0,0,Plaza / complex / mall for rent,https://nigeriapropertycentre.com/for-rent/commercial/plaza-complex-mall/lagos/victoria-island/3295301-open-plan-ground-floor-390sqm-first-floor-360sqm-2nd-floor
3 Bedroom Apartment,"Victoria Island (VI), Lagos","$60,000,000 per annum 
approx. ₦85,263,622,620",3,0,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3256124-3-bedroom-apartment
Office Space,"Victoria Island (VI), Lagos","₦650,000 per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/3295449-office-space
Luxury Build 2 Bedrooms Flat With Premium Finishing,"1004, Victoria Island (VI), Lagos","₦10,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3295639-luxury-build-2-bedrooms-flat-with-premium-finishing
A Lovely 2 Bedroom Maisonette,"1004 Estate, Victoria Island (VI), Lagos","₦10,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3295947-a-lovely-2-bedroom-maisonette
Brand New 2 Bedroom Luxurious Apartment In A Serene Ambiance,"Victoria Island (VI), Lagos","₦35,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3293856-brand-new-2-bedroom-luxurious-apartment-in-a-serene-ambiance
429 Sqm Office Space,"Bishop Aboyade Cole Street, Victoria Island (VI), Lagos","₦260,000 per square meter / per annum",0,1,1,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/3047080-429-sqm-office-space
Units Of 3 Bedroom Apartments Available,"Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294020-units-of-3-bedroom-apartments-available
Furnished 3 Bedroom Apartment With A Study,"Idejo Street, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3220265-furnished-3-bedroom-apartment-with-a-study
Well Maintained 3 Bedroom Apartment With A Swimming Pool & Gym,"Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/victoria-island/3294014-well-maintained-3-bedroom-apartment-with-a-swimming-pool-gym
Brand New And Fully Serviced 2&3 Bedroom Flats On The 9th Floor,"Musa Yaradua Drive, Victoria Island (VI), Lagos","₦50,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294116-brand-new-and-fully-serviced-23-bedroom-flats-on-the-9th-floor
164sqm Office Space On The Ground Floor,"Adeola Hopewell, Victoria Island (VI), Lagos","₦160,000 per square meter / per annum",0,1,3,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/3294155-164sqm-office-space-on-the-ground-floor
2 Bedroom Apartment,"Victoria Island (VI), Lagos","₦18,000,000 per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294177-2-bedroom-apartment
Improved Fully Furnished 3 Bedroom Apartment,"Cluster D 1004 Estate, Off Ozumba Road, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294287-improved-fully-furnished-3-bedroom-apartment
Spacious 5-floors Of Office Space,"Victoria Island (VI), Lagos","₦350,000 per square meter / per annum",0,0,0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/victoria-island/3294353-spacious-5-floors-of-office-space
Premium Furnished 3-bedroom Apartments,"Off Ajose Adeogun Street, Victoria Island (VI), Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294364-premium-furnished-3-bedroom-apartments
Lovely 2 Bedroom Flat With Bq And Secured,"Victoria Island (VI), Lagos","₦15,000,000 per annum",2,0,0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3264352-lovely-2-bedroom-flat-with-bq-and-secured
"Highrise 3 Bedroom Flat Ensuit With Bq,pool,gym","Victoria Island (VI), Lagos","₦55,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3241467-highrise-3-bedroom-flat-ensuit-with-bqpoolgym
Sweeth 2 Bedroom Flat 2nd Floor,"Kofo Abayomi, Victoria Island (VI), Lagos","₦15,000,000 per annum",2,0,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294666-sweeth-2-bedroom-flat-2nd-floor
4 Floors - 2 Blocks Of 18 Flats - â 12 Units Of 2 Bedrooms - â 6 Units,"Ozumba Mbadiwe, Victoria Island (VI), Lagos","$250,000 per annum 
approx. ₦355,265,094",60,0,0,60 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294674-4-floors-2-blocks-of-18-flats-12-units-of-2-bedrooms-6-units
Luxury 2 Bedroom Apartment,"Victoria Island (VI), Lagos","₦35,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294747-luxury-2-bedroom-apartment
600sqm  Of Land,"Victoria Island (VI), Lagos","₦65,000,000 per annum",0,0,0,Commercial land for rent,https://nigeriapropertycentre.com/for-rent/land/commercial-land/lagos/victoria-island/3294780-600sqm-of-land
New 3 Bedroom Apartment,"Victoria Island (VI), Lagos","₦50,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/victoria-island/3294832-new-3-bedroom-apartment
